addressbook=abook|abook
ahk=Autohotkey|autohotkey
applescript=Applescript|applescript
bash=Bash script|bash
bib=BibTeX|latex
c=C |c
cabal=Cabal file|haskell
cc=C++|cpp
cf=Configuration file|config
cfg=Configuration file|config
cl=Common Lisp|lisp
clj=Clojure|clojure
cljs=ClojureScript|clojurescript
cls=Visual Basic class module|visual_basic
cnf=Configuration file|config
coffee=CoffeeScript|coffeescript
conf=Configuration file|config
config=Configuration file|config
cpp=C++|cpp
cr=Crystal|crystal
cs=C#|c-sharp
css=CSS|css
cxx=C++|cpp
d=D|d
dart=Dart|dart
dll= DLL file|visual_basic
e=Eiffel|eiffel
elm=Elm|elm
erl=Erlang|erlang
ex=Elixir|elixir
expect=Expect|tcl
fasl=Common Lisp|lisp
fish=Fish script|fish
fnl=Fennel|fennel
fs=F#|f_sharp
g=ANTLR grammar|antlr
g3=ANTLR 3 grammar|antlr
g4=ANTLR 4 grammar|antlr
gemspec=Gem Spec|ruby
go=Go|go
gql=GraphQL|graphql
graphql=GraphQL|graphql
groovy=Groovy|groovy
gsh=Groovy|groovy
gvy=Groovy|groovy
gy=Groovy|groovy
h=C header file|c
hack=Hack|hack
haml=Haml|haml
hpp=C++ header file|cpp
hs=Haskell|haskell
html=HTML|html
hx=Haxe|haxe
hxx=C++ header file|cpp
idr=Idris|idris
ini=Configuration file|config
ino=Arduino|arduino
ipynb=Jupyter Notebook|jupyter
java=Java|java
jl=Julia|julia
js=JavaScript|javascript
json=JSON|json
jsx=React|react
ksh=KornShell script|bash
kshrc=KornShell config|bash
kt=Kotlin|kotlin
kv=Kivy|kivy
l=Common Lisp|lisp
less=Less|less
lidr=Idris|idris
liquid=Liquid|liquid
lisp=Common Lisp|lisp
log=Log file|code
lsp =Common Lisp|lisp
lua=Lua|lua
m=MATLAB|matlab
markdown=Markdown|markdown
mat=MATLAB|matlab
md=Markdown|markdown
mdx=MDX|mdx
mjs=JavaScript|javascript
ml=OCaml|ocaml
nim=Nim|nim
nix=Nix|nix
norg=Neorg|neorg
org=Org|org
pb=Protobuf|protobuf
pcss=PostCSS|postcss
pgsql=PostgreSQL|pgsql
php=PHP|php
pl=Perl|perl
plist=Property List|markup
postcss=PostCSS|postcss
proto=Protobuf|protobuf
ps1=PowerShell|powershell
psd1=PowerShell|powershell
psm1=PowerShell|powershell
purs=PureScript|purescript
py=Python|python
r=R|r
raku=Raku|raku
rakudoc=Raku|raku
rakumod=Raku|raku
rakutest=Raku|raku
rb=Ruby|ruby
re=Reason|reason
res=ReScript|rescript
rkt=Racket|racket"},
rs=Rust|rust
sass=Sass|sass
scala=Scala|scala
scm=Scheme|scheme
scss=Sass|scss
sh=Shell script|bash
shrc=Shell config|bash
snap=Jest Snapshot|jest
sql=SQL|database
ss=Scheme|scheme
svelte=Svelte|svelte
svg=SVG|markup
swift=Swift|swift
tcl=Tcl|tcl
tex=LaTeX|latex
text=Text file|text
tf=Terraform|terraform
tk=Tcl/Tk|tcl
tl=Teal|teal
toml=TOML|toml
ts=TypeScript|typescript
tsx=React|react
txt=Text file|text
uc=UnrealScript|unreal
v=Vlang|vlang
vsh=Vlang shell script|vlang
vb=Visual Basic|visual_basic
vbp=Visual Basic project file|visual_basic
vim=Vim|vim
viml=Vim|vim
vue=Vue|vue
wasm= WebAssembly|webassembly
wast= WebAssembly|webassembly
wat= WebAssembly|webassembly
xml=XML|markup
xsd=XML Schema|markup
xslt=XSLT|markup
yaml=YAML|yaml
yml=YAML|yaml
zig=Zig|zig
zsh=Zsh script|bash
zu=Zimbu|zimbu
